Symbol,Company Name,Market Cap,Stock Price
1,MAYBANK,Malayan Banking Berhad,122.36B
2,PBBANK,Public Bank Berhad,88.12B
3,CIMB,CIMB Group Holdings Berhad,86.83B
4,TENAGA,Tenaga Nasional Berhad,79.75B
5,IHH,IHH Healthcare Berhad,63.00B
6,CDB,Celcomdigi Berhad,42.12B
7,HLBANK,Hong Leong Bank Berhad,41.90B
8,PMETAL,Press Metal Aluminium Holdings Berhad,41.45B
9,PCHEM,PETRONAS Chemicals Group Berhad,39.84B
10,PETGAS,PETRONAS Gas Berhad,34.39B
11,SDG,SD Guthrie Berhad,34.30B
12,MISC,MISC Berhad,33.52B
13,YTLPOWR,YTL Power International Berhad,30.13B
14,RHBBANK,RHB Bank Berhad,28.51B
15,MAXIS,Maxis Berhad,27.96B
16,GAMUDA,Gamuda Berhad,27.08B
17,SUNWAY,Sunway Berhad,26.68B
18,TM,Telekom Malaysia Berhad,25.83B
19,IOICORP,IOI Corporation Berhad,23.95B
20,KLK,Kuala Lumpur Kepong Berhad,23.75B
21,YTL,YTL Corporation Berhad,23.73B
22,NESTLE,Nestlé (Malaysia) Berhad,22.93B
23,AXIATA,Axiata Group Berhad,22.31B
24,HLFG,Hong Leong Financial Group Berhad,20.69B
25,PETDAG,PETRONAS Dagangan Berhad,20.41B
26,AMBANK,AMMB Holdings Berhad,18.11B
27,AIRPORT,Malaysia Airports Holdings Berhad,17.75B
28,PPB,PPB Group Berhad,17.41B
29,QL,QL Resources Berhad,17.30B
30,MRDIY,Mr D.I.Y. Group (M) Berhad,17.21B
31,SIME,Sime Darby Berhad,16.56B
32,WPRTS,Westports Holdings Berhad,15.11B
33,KLCC,KLCC Property Holdings Berhad,14.44B
34,GENTING,Genting Berhad,13.86B
35,UTDPLT,United Plantations Berhad,13.27B
36,HARTA,Hartalega Holdings Berhad,13.04B
37,GENM,Genting Malaysia Berhad,12.02B
38,INARI,Inari Amertron Berhad,11.74B
39,IOIPG,IOI Properties Group Berhad,11.34B
40,TOPGLOV,Top Glove Corporation Bhd.,10.82B
41,KPJ,KPJ Healthcare Berhad,10.47B
42,SIMEPROP,Sime Darby Property Berhad,10.47B
43,DIALOG,Dialog Group Berhad,10.38B
44,IJM,IJM Corporation Berhad,10.13B
45,HAPSENG,Hap Seng Consolidated Berhad,8.89B
46,CHINHIN,Chin Hin Group Berhad,8.56B
47,TIMECOM,TIME dotCom Berhad,8.52B
48,BKAWAN,Batu Kawan Berhad,7.84B
49,YINSON,Yinson Holdings Berhad,7.64B
50,IGBREIT,IGB Real Estate Investment Trust,7.52B
51,VITROX,ViTrox Corporation Berhad,7.47B
52,ABMB,Alliance Bank Malaysia Berhad,7.42B
53,MYEG,My E.G. Services Berhad,7.23B
54,BURSA,Bursa Malaysia Berhad,7.21B
55,HEIM,Heineken Malaysia Berhad,7.20B
56,SCIENTX,Scientex Berhad,7.11B
